FE,N,Eval,p_target,Iteration,Alg
14279,5,Ellips100,0.2,3,cma-es-ppmf-dp-2-pt-0.2
16599,5,Ellips100,0.3,3,cma-es-ppmf-dp-2-pt-0.3
20659,5,Ellips100,0.4,3,cma-es-ppmf-dp-2-pt-0.4
17359,5,Ellips100,0.5,3,cma-es-ppmf-dp-2-pt-0.5
50019,5,Ellips100,0.6,3,cma-es-ppmf-dp-2-pt-0.6
17099,5,Ellips100,0.9,3,cma-es-ppmf-dp-2-pt-0.9
44559,10,Ellips100,0.1,3,cma-es-ppmf-dp-2-pt-0.1
56159,10,Ellips100,0.2,3,cma-es-ppmf-dp-2-pt-0.2
90159,10,Ellips100,0.3,3,cma-es-ppmf-dp-2-pt-0.3
68679,10,Ellips100,0.4,3,cma-es-ppmf-dp-2-pt-0.4
79559,10,Ellips100,0.5,3,cma-es-ppmf-dp-2-pt-0.5
100039,10,Ellips100,0.6,3,cma-es-ppmf-dp-2-pt-0.6
55479,10,Ellips100,0.9,3,cma-es-ppmf-dp-2-pt-0.9
300119,30,Ellips100,0.1,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.2,3,cma-es-ppmf-dp-2-pt-0.2
300119,30,Ellips100,0.3,3,cma-es-ppmf-dp-2-pt-0.3
300119,30,Ellips100,0.4,3,cma-es-ppmf-dp-2-pt-0.4
300119,30,Ellips100,0.5,3,cma-es-ppmf-dp-2-pt-0.5
300119,30,Ellips100,0.6,3,cma-es-ppmf-dp-2-pt-0.6
300119,30,Ellips100,0.9,3,cma-es-ppmf-dp-2-pt-0.9
500199,50,Ellips100,0.1,3,cma-es-ppmf-dp-2-pt-0.1
500199,50,Ellips100,0.2,3,cma-es-ppmf-dp-2-pt-0.2
500199,50,Ellips100,0.3,3,cma-es-ppmf-dp-2-pt-0.3
500199,50,Ellips100,0.4,3,cma-es-ppmf-dp-2-pt-0.4
500199,50,Ellips100,0.5,3,cma-es-ppmf-dp-2-pt-0.5
500199,50,Ellips100,0.6,3,cma-es-ppmf-dp-2-pt-0.6
500199,50,Ellips100,0.9,3,cma-es-ppmf-dp-2-pt-0.9
3495,2,Sphere,0.1,4,cma-es-ppmf-dp-2-pt-0.1
3663,2,Sphere,0.2,4,cma-es-ppmf-dp-2-pt-0.2
4207,2,Sphere,0.3,4,cma-es-ppmf-dp-2-pt-0.3
5263,2,Sphere,0.4,4,cma-es-ppmf-dp-2-pt-0.4
8351,2,Sphere,0.5,4,cma-es-ppmf-dp-2-pt-0.5
15775,2,Sphere,0.6,4,cma-es-ppmf-dp-2-pt-0.6
