FE,N,Eval,d_param,Iteration,Alg
13219,5,Ellips100,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
12979,5,Ellips100,1,4,cma-es-ppmf-dp-1-pt-0.1
12339,5,Ellips100,10,4,cma-es-ppmf-dp-10-pt-0.1
18259,5,Ellips100,100,4,cma-es-ppmf-dp-100-pt-0.1
44799,10,Ellips100,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
41239,10,Ellips100,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
41159,10,Ellips100,1,4,cma-es-ppmf-dp-1-pt-0.1
40559,10,Ellips100,10,4,cma-es-ppmf-dp-10-pt-0.1
42079,10,Ellips100,100,4,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips100,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips100,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips100,1,4,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips100,10,4,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips100,100,4,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips100,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips100,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips100,1,4,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips100,10,4,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips100,100,4,cma-es-ppmf-dp-100-pt-0.1
3871,2,Sphere,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
3719,2,Sphere,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
3407,2,Sphere,1,5,cma-es-ppmf-dp-1-pt-0.1
11471,2,Sphere,10,5,cma-es-ppmf-dp-10-pt-0.1
17743,2,Sphere,100,5,cma-es-ppmf-dp-100-pt-0.1
13999,5,Sphere,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
12539,5,Sphere,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
12199,5,Sphere,1,5,cma-es-ppmf-dp-1-pt-0.1
11859,5,Sphere,10,5,cma-es-ppmf-dp-10-pt-0.1
12579,5,Sphere,100,5,cma-es-ppmf-dp-100-pt-0.1
41399,10,Sphere,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
39119,10,Sphere,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
39559,10,Sphere,1,5,cma-es-ppmf-dp-1-pt-0.1
34239,10,Sphere,10,5,cma-es-ppmf-dp-10-pt-0.1
54479,10,Sphere,100,5,cma-es-ppmf-dp-100-pt-0.1
300119,30,Sphere,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Sphere,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Sphere,1,5,cma-es-ppmf-dp-1-pt-0.1
300119,30,Sphere,10,5,cma-es-ppmf-dp-10-pt-0.1
300119,30,Sphere,100,5,cma-es-ppmf-dp-100-pt-0.1
500199,50,Sphere,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Sphere,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Sphere,1,5,cma-es-ppmf-dp-1-pt-0.1
500199,50,Sphere,10,5,cma-es-ppmf-dp-10-pt-0.1
500199,50,Sphere,100,5,cma-es-ppmf-dp-100-pt-0.1
