FE,N,Eval,lambda,Iteration,Alg
289037,100,Ellips100,200,2,cma-es-ppmf-dp-2-pt-0.1
356082,100,Ellips100,300,2,cma-es-ppmf-dp-2-pt-0.1
409821,100,Ellips100,400,2,cma-es-ppmf-dp-2-pt-0.1
453905,100,Ellips100,500,2,cma-es-ppmf-dp-2-pt-0.1
652651,100,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
3310,2,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
2498,2,Sphere,50,3,cma-es-ppmf-dp-2-pt-0.1
3635,2,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
6029,2,Sphere,200,3,cma-es-ppmf-dp-2-pt-0.1
7825,2,Sphere,300,3,cma-es-ppmf-dp-2-pt-0.1
9623,2,Sphere,400,3,cma-es-ppmf-dp-2-pt-0.1
12023,2,Sphere,500,3,cma-es-ppmf-dp-2-pt-0.1
20019,2,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
6621,5,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
3518,5,Sphere,50,3,cma-es-ppmf-dp-2-pt-0.1
5554,5,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
8642,5,Sphere,200,3,cma-es-ppmf-dp-2-pt-0.1
12340,5,Sphere,300,3,cma-es-ppmf-dp-2-pt-0.1
15237,5,Sphere,400,3,cma-es-ppmf-dp-2-pt-0.1
18536,5,Sphere,500,3,cma-es-ppmf-dp-2-pt-0.1
33032,5,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
4333,10,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
4538,10,Sphere,50,3,cma-es-ppmf-dp-2-pt-0.1
7776,10,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
13466,10,Sphere,200,3,cma-es-ppmf-dp-2-pt-0.1
18360,10,Sphere,300,3,cma-es-ppmf-dp-2-pt-0.1
22856,10,Sphere,400,3,cma-es-ppmf-dp-2-pt-0.1
27053,10,Sphere,500,3,cma-es-ppmf-dp-2-pt-0.1
48047,10,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
7259,30,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
7904,30,Sphere,50,3,cma-es-ppmf-dp-2-pt-0.1
12624,30,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
21707,30,Sphere,200,3,cma-es-ppmf-dp-2-pt-0.1
31002,30,Sphere,300,3,cma-es-ppmf-dp-2-pt-0.1
